Nom / Agence;Téléphone;Horaires / Disponibilité;Prix Approx.;Services & Exclusivité
EXCLUSIVE PARIS PLACE (P-Y. Tremintin);06 61 52 49 46;Lundi-Samedi 8:30-22:30;Sur devis;Spécialiste UHNWI. Privatisation de salons en Palaces, accès Haute Couture et Haute Joaillerie.
LS AGENCY PARIS(Alice);06 02 49 62 65;Lun-Sam (9h-20h);Dès 600 €;Accompagnement individualisé, sourcing de pièces rares et accès aux showrooms privés.
BON CHIC PARIS(Yoshiko Tange);06 09 94 87 61;Lun-Sam (Sur RDV);780 € / jour;Experte mode luxe & marques confidentielles. Analyse de style incluse avant le tour.
MALWINA PERSONAL SHOPPER;07 82 53 04 85;Lun-Ven (10h-20h);650 € - 2 200 €;Spécialiste conseil en image et relooking complet avec accès aux boutiques de l'Av. Montaigne.
LES JOLIS MÔMES(Laureen);07 56 88 88 54;Lun-Vendredi (Sur RDV);Dès 500 €;"Stylisme personnel, tri de dressing et parcours shopping ""pépites"" et grandes maisons."
RIMA A. PERSONAL SHOPPER;06 16 23 74 20;Lun-Sam (Sur RDV);Sur devis;Sourcing de cadeaux de luxe et parcours sur-mesure selon le profil du client.
PERSHOPRIVATE;https://pershop.fr/;Diverses annonces;-;Sites regroupant plusieurs personnels Shoppers proposant des expériences différentes, en s’accordant au budget 
